season,episode,startup_name,ask_amount,equity,questions,criticisms,final_decision
1,1,Mr Tod's Pie Factory,"$460,000",10%,Why are you being - so greedy? | What are you gonna do about it? | Do you want it?,"- Why are you being - so greedy | 'S the problem | - Well, the problem is, I can't - keep up with the demand | For that reason, I'm out | But it doesn't fit your world, so I'm out | So on that basis, I'm out also | Charge at a very trickle, low-- Darrin, I'm out | - Do you see - a problem with that",Rejected
1,2,Gonna Revolutionize The Way Things Are Taught In School,"$500,000",10%,Do you want to be rich or not? | What would I pay for that? | Are you out of your mind?,"I'm out | - I'm out also | - He's out, I'm out | - Obviously with - the bad economy right now, - a lot of companies - don't want to risk a brand-new startup company, but we have an online retail shop that we could pursue, as well as every major m | - That's not the problem | I'm out | I'm out, too | I'm out",Deal
1,3,The Turbobaster,"$35,000",30%,Can you also use the same syringe to be a temperature Gauge as well?,"For that reason, I'm out | So for that reason, I'm out | I'm out | "" I'm out | I'm out | The problem is, it only makes $45,000 as a company | So for that reason, I'm out | I, um, I like the product, but it's not big enough for me, so I'm out",Rejected
1,4,Graffiti Removal Services,"$350,000",40%,"Is that the face value of the cards you've sold, or is that what your portion is?","Take the money, you crazy chickens | Well, giftcardrescue has a solution to this problem | For that reason, I'm out | I'm out | It's just not ready for me to take the risk | I'm really sorry, but I have to say, I'm out | I'm out | But as a business, it's not here for me, so I'm out",Unknown
1,5,Called The Fizz,"$180,000",50%,"Have you had success? | You wait for people to die? | The question is, is it a good idea? | Robert, I don't want you - to think of me as cold, - but what do we need - daymond for? | You gonna let him - screw me like that?","The reason that I'm looking for an investment from the sharks is, very honestly, I've taken my risks all my life | And I've always had a problem with high blood pressure | Well, I've taken my risks | I'm a risktaker, and the family | I see I have all the risk, and you've got all the upside | I'm out | For that reason, I'm out | Do you think hospitals may have a problem putting a pig snout onto a doctor's face",Rejected
1,7,The Solution To Every Griller'S Problem,"$50,000",25%,How much do you love money? | Do you love it as much as I do?,"But my product is the solution to every griller's problem | Now I don't know if you've ever had this problem, but when you go to a cookout or a barbecue, and you serve a platter full of food, a lot of times, you can't tell which is which | Well, I have invented a product called grill charms - that solve all of these problems - and more | 'cause he's-- he says, ""it's not a business, it's a product | I'm out | I still--i really have a problem with the 50% | She made a crazy, wrong decision | - The pitch - is to buy into a business and just hope like crazy they buy the tickets",Rejected
1,8,Unknown,"$90,000",10%,"We just knocked us-- our equity down because of the bank of bozo Barbara? | I'd like to offer you $115,000, 'cause I don't think there's-- all right, you know what?","I'm out | I'm out | I'm out | I'm out | But only $50,000, which creates an opportunity, but also a problem for you | I can't see you ever making money with this, so I'm out | Edwin, I'd love to buy one or two for Christmas and get a smile on someone's face, but I don't see it as a repeat sale, so sadly, I'm out | For that reason, I'm out",Rejected
1,9,The Gayla Bentley Fashion Design Group,"$50,000",10%,"Are you saying your product cures disease and cancer in pets? | Geoffrey, if that's true, why aren't you in a real hospital saving humankind? | Who are you kidding?","- You're gonna need millions of dollars, and, uh, I-I just gotta tell you, you got a lot of guts, and good luck to you, but I'm out | I'm out | I think it's fraught with risk | I'm out | Are you crazy | I'm out | And on that note, I'm out | I think you're totally credible, but you don't have the proof, and for that, it's something I just could not put my money in, so I'm out",Deal
1,10,Called Pillars Of Slippers,"$86,000",20%,Is this a proprietary product? | Can you patent it?,"Good luck with this, but I'm out | I'm out | - And I had a ball, - but I'm out | I'm out | And you know why I'm out | I'm out | I'm out | I don't see how you can compete with them, so I'm out, Mark",Rejected
1,11,The Factionist,"$250,000",Unknown,"Why should I give you the money? | What do investors want, Robert? | The best things in life are free ?","I'm out | You know, on $3,000 in sales, there's no track record for me to invest, so I'm--I'm out | I understand I'm risky, but it's a long-term investment | I'm out | Nate, the--for me, the numbers don't add up, so I wish I could say I'm in, but I'm out | "" I'm out | But part of the problem now is we don't - have the available capital - to keep up with the demand | That's a problem",Deal
