instruction,input,output
Evaluate investor readiness,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Explain investor concern,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Assess startup valuation,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Evaluate investor readiness,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Check market attractiveness,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Assess startup moat,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Critique startup fundraising plan,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Evaluate investor readiness,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Assess startup valuation,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Assess startup moat,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Check market attractiveness,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Check market attractiveness,Large market opportunity,"Too vague. Add TAM, SAM, SOM estimates with assumptions and sources."
Assess startup valuation,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Assess startup moat,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Critique startup fundraising plan,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Review startup pitch,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Analyze fundraising strategy,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Explain investor concern,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Assess startup valuation,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Provide VC feedback,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Evaluate investor readiness,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Evaluate investor readiness,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Provide VC feedback,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Explain investor concern,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Critique startup fundraising plan,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Evaluate business model,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Evaluate investor readiness,We are another food delivery app,"Crowded category. Need clear differentiation, defensibility, or niche advantage."
Analyze fundraising strategy,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Check market attractiveness,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Assess startup moat,No competitors exist,"Usually unrealistic. Show direct, indirect, or substitute competitors honestly."
Provide VC feedback,We rely on one enterprise customer,Customer concentration risk is high. Revenue diversification needed.
Assess startup valuation,Need $5M seed round with no traction,Capital ask seems high relative to stage. Justify with milestones and roadmap.
Evaluate investor readiness,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
Assess startup valuation,We are raising at $20M valuation pre-revenue,"Valuation appears aggressive without revenue, traction, or clear growth signals."
Explain investor concern,We have no CAC or LTV numbers,Missing unit economics weakens confidence in scalable growth.
Assess startup valuation,We target all businesses globally,ICP is too broad. Investors prefer focused customer segments with clear pain points.
Evaluate investor readiness,Our founders have no domain experience,"Need stronger founder-market fit, advisors, or evidence of execution capability."
Explain investor concern,We have MVP but no paying customers,"May suit angel funding, but many VCs will seek stronger validation first."
Provide VC feedback,We will grow through social media only,Go-to-market strategy is shallow. Need repeatable acquisition channels.
Provide VC feedback,We have no clear revenue model,Lack of monetization clarity increases investor hesitation and execution risk.
Assess startup valuation,We only need funding for marketing,"Use of funds should include growth, product, hiring, and milestones."
Explain investor concern,We have 100 users after 2 years,"Growth appears slow. Explain retention, niche strategy, or learning progress."
Evaluate investor readiness,We burn $200k monthly with no growth,High burn without traction is a major investor red flag.
