startup,slide_no,slide_text
CrowdBouncerPitch-Deck,1,"Pitch Deck
February 2014
This document contains “forward-looking statements” within the meaning of the safe harbor provisions of the United States
Private Securities Litigation Reform Act of 1995. Such statements may include, but are not limited to, statements about future
financial and operating results, objectives, expectations and intentions and other statements that are not historical facts. Such
statements are based upon the current beliefs and expectations of CrowdBouncerTM's management and are subject to significant
risks and uncertainties. Actual results may differ from those set forth in the forward-looking statements.
This document is for informational purposes and is not an offer to sell or a solicitation of an offer to buy any securities and may
not be relied upon in connection with the purchase or sale of any security.
All of the information contained in this document is CONFIDENTIAL and the reader/viewer hereby consents not to disclose this
document or any of its contents to any third-party without the express written consent of CrowdBouncerTM."
CrowdBouncerPitch-Deck,2,"The History
September 2013: October 2013:
May 2012:
Ban on general Rules for
solicitation under Regulation
JOBS Act signed
Regulation D Crowdfunding
into law
lifted announced
Tectonic shift in how capital is raised
2"
CrowdBouncerPitch-Deck,3,"The Problem
Raising money over the Internet involves a
tangled web of regulations….
What we do…
• Simplify securities compliance through
web-based methods
• Automate traditional manual and paper
compliance processes
• Make compliance processes less
intrusive and less redundant for
investors
• Facilitate data-sharing across platforms
3"
CrowdBouncerPitch-Deck,4,"The Current Platform
CrowdBouncer is the Compliance Cloud for
Crowdfunding and Beyond
CrowdBouncer API
Equity
Accredited
Identity
AML Crowdfunding
Verifications
Verifications
Compliance
4"
CrowdBouncerPitch-Deck,5,"Business Model & Financials
• Charge for Verifications:
• Income: $12 per verification
• Net Worth: $25 per verification
• Identity: $6 per verification
• AML: *Free*
Projected 5 Year Revenue Growth
$35,000,000
$30,000,000
$25,000,000
$20,000,000
$15,000,000
Revenues EBITDA
$10,000,000
$5,000,000
$0
2014 2015 2016 2017 2018
($5,000,000)
5"
CrowdBouncerPitch-Deck,6,"Our Customers
6"
CrowdBouncerPitch-Deck,7,"The Market
• Estimated to be a $3.98 Billion
Industry SOURCE: “U.S. Equity
Crowdfunding Market Size,” Fung
Institute for Engineering Leadership,
UC Berkeley
• Meteoric global growth over the
past three years
(SOURCE: Massolution 2013 Crowdfunding Report)
7"
CrowdBouncerPitch-Deck,8,"Media
8"
CrowdBouncerPitch-Deck,9,"The Team
Bob Carbone – CEO, Founder
– Experienced corporate attorney with a passion for
crowdfunding
– Board member of CFIRA
Brian Fending – CTO, Co-Founder
– Has brought several products to market as architect or
technical founder of a startup.
– Most recently, founded product development firm Monster
Assembly
Keith A. Blakely – Co-Founder
– Serial entrepreneur and owner of The InVentures Group
– Has sold companies to Tyco and L3 Communications
Jordan Levy – Director
– Partner at Softbank Capital in NYC
9"
CrowdBouncerPitch-Deck,10,"The Opportunity
• Attempting to raise $600k to continue marketing and development
• Securities offered are Series A Preferred Shares with an 8% accrued dividend @ $1.00
per share
• Pre-Money Valuation = $1.62 million
• $437,500 committed and closed from Rand Capital Corp. and SCP Buffalo Incubator
Innovate NY Fund, L.P.
10"
